street_number,street_name,city,state,country,address,bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,view,pool,commission,sale_date,price_per_sqft,sale_price
10621,Le Conte AVE,Los Angeles,CA,United States of America,"10621, Le Conte AVE, Los Angeles, CA, United States of America",3,2,1656,95,7248,4,Y,N,2.5,45064,1479.47,2450000
2426 N,Beverly Glen BLVD,Los Angeles,CA,United States of America,"2426 N, Beverly Glen BLVD, Los Angeles, CA, United States of America",3,2,1876,97,5739,40,Y,N,2.5,44886,676.97,1270000
10508,Wilkins AVE,Los Angeles,CA,United States of America,"10508, Wilkins AVE, Los Angeles, CA, United States of America",3,2,2180,95,6510,40,Y,N,2.5,44896,917.43,2000000
11533 S,St Andrews PL,Los Angeles,CA,United States of America,"11533 S, St Andrews PL, Los Angeles, CA, United States of America",3,2,1276,74,5304,40,Y,N,2.5,44991,611.21,779900
7427,Dalton AVE,Los Angeles,CA,United States of America,"7427, Dalton AVE, Los Angeles, CA, United States of America",3,2,1464,95,5405,41,Y,N,2.5,44865,559.43,819000
2111,Rockledge RD,Los Angeles,CA,United States of America,"2111, Rockledge RD, Los Angeles, CA, United States of America",3,2,2022,99,4466,42,Y,N,2.5,44845,927.3,1875000
3465,Winslow DR,Los Angeles,CA,United States of America,"3465, Winslow DR, Los Angeles, CA, United States of America",3,2,2497,116,6557,44,Y,N,2.5,44811,660.79,1650000
3462,Floresta AVE,Los Angeles,CA,United States of America,"3462, Floresta AVE, Los Angeles, CA, United States of America",3,2,2090,91,6075,44,Y,N,2.5,44923,636.36,1330000
3926,Edgehill DR,Los Angeles,CA,United States of America,"3926, Edgehill DR, Los Angeles, CA, United States of America",3,2,1759,86,5094,44,Y,N,2.5,45058,554.29,975000
6260,TIPTON WAY,Los Angeles,CA,United States of America,"6260, TIPTON WAY, Los Angeles, CA, United States of America",3,2,1820,88,8197,45,Y,N,2.5,44811,813.19,1480000
7403 S,Harvard BLVD,Los Angeles,CA,United States of America,"7403 S, Harvard BLVD, Los Angeles, CA, United States of America",3,2,1499,97,5200,45,Y,N,2.5,44908,533.02,799000
3450,Primera AVE,Los Angeles,CA,United States of America,"3450, Primera AVE, Los Angeles, CA, United States of America",3,2,1600,84,9708,48,Y,N,2.5,44827,1046.88,1675000
3016,Division ST,Los Angeles,CA,United States of America,"3016, Division ST, Los Angeles, CA, United States of America",3,2,1500,99,5802,48,Y,N,2.5,44813,640,960000
4784,Twining ST,Los Angeles,CA,United States of America,"4784, Twining ST, Los Angeles, CA, United States of America",3,2,1208,97,4427,49,Y,N,2.5,44811,633.28,765000
